vin,model_code,engine_code,gearbox_code,branch,catalog_group,group_name,subgroup,diagram_title,item_no,part_number,replacement_numbers,quantity,name,usage,remarks,source_url,diagram_image_url,price_url
ADB2020186F450004,202.018,111.920,717.416,body_chassis_44V,24,24,015,ENGINE SUSPENSION,5,A2022401617,,1,ENGINE MOUNTING FRONT LEFT,,,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=24&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B240/B24015000107.980220.png&hash=cbf0caeddb6aa8926701be3b4e7db02b,https://www.neoriginal.ru/prices?brand=mercedes&article=A2022401617
ADB2020186F450004,202.018,111.920,717.416,body_chassis_44V,24,24,015,ENGINE SUSPENSION,5,A2022401717,,1,ENGINE SUPPORT FRONT RIGHT,,,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=24&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B240/B24015000107.980220.png&hash=cbf0caeddb6aa8926701be3b4e7db02b,https://www.neoriginal.ru/prices?brand=mercedes&article=A2022401717
ADB2020186F450004,202.018,111.920,717.416,body_chassis_44V,24,24,015,ENGINE SUSPENSION,5,A2022402517,A2032400317,-,ENGINE SUPPORT,,,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=24&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B240/B24015000107.980220.png&hash=cbf0caeddb6aa8926701be3b4e7db02b,https://www.neoriginal.ru/prices?brand=mercedes&article=A2022402517
ADB2020186F450004,202.018,111.920,717.416,body_chassis_44V,24,24,015,ENGINE SUSPENSION,5,A2022402617,A2032400417,-,ENGINE MOUNTING,,,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=24&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B240/B24015000107.980220.png&hash=cbf0caeddb6aa8926701be3b4e7db02b,https://www.neoriginal.ru/prices?brand=mercedes&article=A2022402617
ADB2020186F450004,202.018,111.920,717.416,body_chassis_44V,24,24,015,ENGINE SUSPENSION,5,A2032400317,,1,ENGINE MOUNTING FRONT LEFT,,,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=24&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B240/B24015000107.980220.png&hash=cbf0caeddb6aa8926701be3b4e7db02b,https://www.neoriginal.ru/prices?brand=mercedes&article=A2032400317
ADB2020186F450004,202.018,111.920,717.416,body_chassis_44V,24,24,015,ENGINE SUSPENSION,5,A2032400417,,1,ENGINE MOUNTING FRONT RIGHT,,,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=24&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B240/B24015000107.980220.png&hash=cbf0caeddb6aa8926701be3b4e7db02b,https://www.neoriginal.ru/prices?brand=mercedes&article=A2032400417
ADB2020186F450004,202.018,111.920,717.416,body_chassis_44V,24,24,015,ENGINE SUSPENSION,5,A2102400517,,1,ENGINE MOUNTING FRONT LEFT,,,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=24&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B240/B24015000107.980220.png&hash=cbf0caeddb6aa8926701be3b4e7db02b,https://www.neoriginal.ru/prices?brand=mercedes&article=A2102400517
ADB2020186F450004,202.018,111.920,717.416,body_chassis_44V,24,24,015,ENGINE SUSPENSION,5,A2102400617,,1,ENGINE MOUNTING FRONT RIGHT,,,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=24&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B240/B24015000107.980220.png&hash=cbf0caeddb6aa8926701be3b4e7db02b,https://www.neoriginal.ru/prices?brand=mercedes&article=A2102400617
ADB2020186F450004,202.018,111.920,717.416,body_chassis_44V,24,24,015,ENGINE SUSPENSION,8,A2022410634,A2022411034,-,SCREENING PLATE,,,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=24&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B240/B24015000107.980220.png&hash=cbf0caeddb6aa8926701be3b4e7db02b,https://www.neoriginal.ru/prices?brand=mercedes&article=A2022410634
ADB2020186F450004,202.018,111.920,717.416,body_chassis_44V,24,24,015,ENGINE SUSPENSION,8,A2022411034,,1,SCREENING PLATE ENGINE FRONT RIGHT MOUNTING,,,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=24&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B240/B24015000107.980220.png&hash=cbf0caeddb6aa8926701be3b4e7db02b,https://www.neoriginal.ru/prices?brand=mercedes&article=A2022411034
